City,Country,Inexpensive Meal,Midrange Meal For 2,McMeal,Domestic Beer (at restaurant),Imported Beer (at restaurant),Cappuccino (at restaurant),Soft Drink (at restaurant),Water (at restaurant),Milk (at Grocery),White Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Bananas,Oranges,Tomato,Potato,Onion,Lettuce,Water (at Grocery),Wine (at Grocery),Domestic Beer (at Grocery),Imported Beer (at Grocery),data_quality,Avg_Fruit,Avg_Veg,City/Country
Wuhan,China,3.56,27.05,5.69,1.54,2.14,2.86,0.43,0.23,1.72,1.78,0.9,1.73,12.81,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,14.24,0.79,1.76,1,1.613333333,0.97,"Wuhan, China"
Hyderabad,India,2.46,12.28,5.53,1.84,3.68,2.01,0.45,0.18,0.74,0.56,0.68,0.89,5.79,3.56,6.79,2.66,0.71,1.31,0.54,0.45,0.41,0.72,0.37,11.67,1.9,3.14,1,1.56,0.53,"Hyderabad, India"
Tehran,Iran,4.0,30.0,4.98,0.8,1.94,1.51,0.93,0.77,0.81,0.53,3.72,1.3,4.05,3.19,8.11,1.12,1.38,1.11,0.66,0.6,0.5,0.51,0.3,1.0,0.5,1.27,1,1.203333333,0.5675,"Tehran, Iran"
Paris,France,15.81,63.22,10.54,7.38,6.32,3.89,2.88,2.44,1.24,2.11,2.29,3.67,17.51,13.01,23.13,3.18,2.13,2.85,3.88,2.3,2.26,1.53,0.85,8.43,2.11,3.03,1,2.72,2.4925,"Paris, France"
Nagoya,Japan,7.45,37.23,5.21,2.98,3.72,2.65,1.03,0.78,1.51,1.37,3.72,1.81,15.49,9.06,18.61,6.2,2.29,3.96,6.33,4.09,2.26,1.41,0.81,7.45,1.92,1.69,1,4.15,3.5225,"Nagoya, Japan"
Ho Chi Minh City,Vietnam,2.04,24.48,4.08,1.02,2.04,2.02,0.55,0.3,1.49,1.17,0.93,1.52,10.24,3.42,11.65,3.26,1.05,1.37,1.2,1.31,1.44,1.02,0.51,8.16,0.87,1.47,1,1.893333333,1.2425,"Ho Chi Minh City, Vietnam"
Los Angeles,United States,20.0,88.59,10.0,8.0,8.0,4.94,2.7,2.3,1.14,3.8,5.64,3.84,12.63,11.58,17.89,4.15,1.78,3.46,4.23,2.76,2.22,1.79,2.0,12.0,2.56,2.95,1,3.13,2.75,"Los Angeles, United States"
Baoding,China,,14.24,3.99,,,2.85,0.47,,1.99,1.14,0.43,1.02,,2.14,11.39,1.42,0.85,0.71,0.57,1.42,,,,,1.0,2.85,0,0.993333333,0.995,"Baoding, China"
Lima,Peru,3.92,22.19,5.22,2.09,3.92,2.66,0.86,0.57,1.22,1.83,1.11,1.81,6.89,4.99,8.2,1.54,1.02,0.93,0.98,0.74,0.89,0.72,0.72,7.83,1.6,2.33,1,1.163333333,0.8325,"Lima, Peru"
Rio de Janeiro,Brazil,6.71,28.74,6.71,1.92,2.87,1.57,1.12,0.77,1.07,1.53,1.19,1.9,8.28,3.72,8.41,1.86,1.22,1.05,1.69,1.09,1.0,0.58,0.55,8.62,1.13,2.36,1,1.376666667,1.09,"Rio de Janeiro, Brazil"
Tianjin,China,4.27,28.47,6.41,1.42,2.14,3.54,0.46,0.28,1.91,1.55,0.95,1.25,14.59,2.96,10.56,1.25,1.37,1.36,1.12,0.74,0.74,0.71,0.67,14.24,1.07,1.42,1,1.326666667,0.8275,"Tianjin, China"
Nanyang,China,2.85,21.35,4.27,1.14,1.99,2.73,0.42,0.25,2.33,1.11,0.59,1.09,,4.63,6.41,1.19,0.85,1.42,0.81,0.38,0.36,0.71,0.57,11.39,0.78,2.14,0,1.153333333,0.565,"Nanyang, China"
Shijiazhuang,China,3.2,19.22,4.98,0.78,1.42,3.54,0.41,0.28,1.42,1.42,0.71,1.25,11.39,2.96,9.96,0.85,1.37,0.71,0.71,0.43,0.43,0.21,0.43,14.24,0.71,1.42,0,0.976666667,0.445,"Shijiazhuang, China"
Zhengzhou,China,2.14,17.08,4.27,0.78,2.28,3.27,0.44,0.28,1.77,1.71,0.73,1.48,17.79,2.33,10.92,1.0,0.95,0.85,0.89,0.59,0.49,0.33,0.57,12.1,0.95,1.74,1,0.933333333,0.575,"Zhengzhou, China"
Luanda,Angola,7.84,64.25,10.51,2.2,1.5,3.93,1.95,1.42,2.49,2.58,1.54,3.68,5.46,8.61,16.6,4.5,0.76,3.47,3.34,2.5,2.17,1.18,0.48,10.02,0.78,0.79,0,2.91,2.2975,"Luanda, Angola"
Weifang,China,2.85,14.24,5.34,1.14,2.14,3.46,0.71,0.28,1.78,1.07,1.0,,8.54,3.13,8.54,1.14,,1.14,0.85,0.71,0.57,0.43,0.57,5.69,0.71,1.85,0,1.14,0.64,"Weifang, China"
Linyi,China,2.85,21.35,4.27,1.14,1.99,2.73,0.42,0.21,1.71,1.11,0.59,1.09,,3.42,6.41,1.19,0.85,1.42,0.81,0.38,0.36,0.71,0.57,11.39,0.71,2.14,0,1.153333333,0.565,"Linyi, China"
Chicago,United States,20.0,80.0,10.0,6.0,6.5,4.83,2.29,1.99,0.84,3.18,3.73,2.98,12.21,10.47,16.15,5.15,1.58,3.15,3.78,1.84,2.08,1.66,2.06,13.99,2.75,3.69,1,3.293333333,2.34,"Chicago, United States"
Hanoi,Vietnam,2.04,19.9,5.3,0.82,1.63,1.91,0.43,0.27,1.36,0.92,1.0,1.49,10.59,3.48,10.5,2.74,1.09,1.52,1.18,0.99,1.19,0.8,0.6,6.12,0.82,1.56,1,1.783333333,1.04,"Hanoi, Vietnam"
Chongqing,China,2.85,17.08,4.84,0.85,2.85,3.75,0.42,0.27,1.83,1.36,0.93,1.88,9.73,3.63,12.74,1.71,1.3,1.32,1.07,0.64,1.21,0.47,0.54,4.98,0.74,2.04,1,1.443333333,0.8475,"Chongqing, China"
Ganzhou,China,3.2,19.22,6.26,0.57,1.71,2.56,0.43,0.28,1.38,3.14,0.93,1.42,,2.8,4.41,2.28,1.28,1.42,1.0,0.46,0.44,0.46,0.53,7.83,0.43,,0,1.66,0.59,"Ganzhou, China"
Ahmedabad,India,2.46,12.28,3.68,3.38,5.53,1.68,0.44,0.18,0.71,0.54,0.71,1.05,6.21,3.57,6.21,1.91,0.58,1.07,0.6,0.35,0.45,0.77,0.35,9.52,1.86,4.65,1,1.186666667,0.5425,"Ahmedabad, India"
Pune,India,3.68,14.74,4.3,2.46,3.68,1.96,0.42,0.16,0.74,0.49,0.7,0.95,6.16,3.32,6.02,2.15,0.68,1.28,0.57,0.41,0.41,0.59,0.36,7.98,2.12,3.21,1,1.37,0.495,"Pune, India"
Foshan,China,2.85,21.35,4.98,0.85,1.71,3.31,0.43,0.28,1.76,1.63,0.78,1.71,14.24,2.89,11.75,1.85,1.44,1.82,1.31,0.74,1.0,0.49,0.51,11.39,0.78,1.78,0,1.703333333,0.885,"Foshan, China"
Tongshan,China,3.56,21.35,4.98,0.71,1.92,2.86,0.43,0.23,1.72,1.78,0.9,1.82,5.69,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,14.24,0.71,1.76,0,1.613333333,0.97,"Tongshan, China"
Heze,China,,,4.98,,,4.27,0.5,0.25,1.78,2.53,1.82,0.85,11.39,3.13,22.78,2.28,,,,1.99,,1.42,0.85,10.68,1.14,2.56,0,2.28,1.705,"Heze, China"
Changchun,China,2.85,17.08,4.73,2.49,1.42,2.99,0.32,0.21,1.61,1.2,0.9,1.45,10.68,2.81,11.39,1.39,0.71,1.21,0.9,0.57,0.71,0.57,0.57,5.69,0.48,1.99,0,1.103333333,0.6875,"Changchun, China"
Nanjing,China,3.13,21.35,4.63,0.9,1.42,3.29,0.45,0.31,2.23,1.67,1.1,1.86,7.83,3.68,11.7,1.45,1.6,1.99,1.41,1.01,1.2,0.93,0.53,12.81,0.71,1.67,1,1.68,1.1375,"Nanjing, China"
Bogota,Colombia,3.15,18.88,4.62,1.05,2.1,1.14,0.57,0.49,0.87,0.99,0.82,1.52,4.02,3.69,5.36,1.95,0.76,0.95,0.92,0.78,0.71,0.55,0.58,8.39,0.74,1.34,1,1.22,0.74,"Bogota, Colombia"
Kuala Lumpur,Malaysia,3.42,22.79,4.1,3.65,4.56,2.74,0.6,0.38,1.7,0.83,1.37,1.74,10.02,3.72,9.37,2.61,1.53,2.82,1.43,1.03,0.95,0.9,0.64,15.95,2.49,3.63,1,2.32,1.0775,"Kuala Lumpur, Malaysia"
Hefei,China,2.85,22.78,4.98,0.85,2.14,3.26,0.44,0.28,1.58,1.57,0.88,1.37,9.02,4.27,9.83,1.7,0.98,0.98,0.88,0.64,0.39,0.38,0.81,15.66,0.78,2.85,0,1.22,0.5725,"Hefei, China"
Dongguan,China,3.2,28.47,4.98,0.71,2.21,3.76,0.45,0.33,2.26,1.82,0.84,2.02,7.83,4.84,9.96,2.28,1.59,1.19,1.09,0.71,0.9,0.71,0.54,9.96,0.93,1.64,0,1.686666667,0.8525,"Dongguan, China"
Jinan,China,2.85,21.35,4.27,1.14,1.99,2.73,0.42,0.25,1.91,1.11,0.59,1.09,14.59,2.96,6.41,1.19,0.85,1.36,0.81,0.38,0.36,0.71,0.57,11.39,0.78,1.42,0,1.133333333,0.565,"Jinan, China"
Hong Kong,Hong Kong,7.7,64.18,5.52,6.42,6.74,5.09,1.18,1.06,3.11,2.28,2.05,3.41,24.7,9.35,22.82,4.51,2.46,3.66,3.03,2.61,2.6,1.57,1.62,19.25,1.83,2.76,1,3.543333333,2.4525,"Hong Kong, Hong Kong"
Dar es Salaam,Tanzania,2.14,24.65,6.64,1.07,1.71,1.8,0.31,0.26,1.03,0.58,0.94,1.93,8.79,3.74,3.92,3.04,1.05,1.06,1.12,0.83,1.08,0.77,0.47,6.43,0.98,1.81,1,1.716666667,0.95,"Dar es Salaam, Tanzania"
Cangzhou,China,2.14,21.35,4.27,0.71,2.14,3.56,0.45,0.26,1.85,1.57,0.62,1.71,5.69,4.27,9.96,1.66,1.42,1.46,1.19,0.93,1.0,0.7,0.71,10.61,0.85,1.57,0,1.513333333,0.955,"Cangzhou, China"
Shenyang,China,2.85,21.35,4.73,0.64,1.42,2.99,0.36,0.21,1.61,1.2,0.9,1.45,13.88,2.81,13.52,1.39,1.19,1.78,1.49,1.14,0.88,0.74,0.61,9.25,0.48,2.25,1,1.453333333,1.0625,"Shenyang, China"
Santiago,Chile,9.05,45.27,6.79,3.4,3.96,2.62,1.11,0.92,1.06,1.33,1.46,2.88,9.74,5.76,10.74,1.68,1.42,1.61,1.82,1.21,1.18,1.05,1.09,5.09,1.3,1.96,1,1.57,1.315,"Santiago, Chile"
Xi'an,China,2.85,17.08,4.98,0.71,2.56,3.42,0.42,0.28,1.81,1.11,1.67,1.54,10.63,3.24,8.4,1.32,1.45,1.42,1.14,0.5,0.61,0.78,0.58,11.39,0.55,1.46,1,1.396666667,0.7575,"Xi'an, China"
Zhanjiang,China,2.35,17.79,5.55,0.85,2.85,2.85,0.5,0.26,1.57,0.71,0.43,1.02,9.96,2.42,6.9,1.28,0.71,1.0,1.38,1.0,1.35,0.71,0.59,11.39,0.71,1.42,0,0.996666667,1.11,"Zhanjiang, China"
Nantong,China,3.13,21.35,4.63,0.9,1.42,3.29,0.45,0.28,2.23,1.67,1.1,1.86,7.83,3.68,11.7,1.45,1.6,1.99,1.41,1.01,1.2,0.93,0.53,12.81,0.71,1.67,0,1.68,1.1375,"Nantong, China"
Riyadh,Saudi Arabia,6.65,53.21,6.92,1.6,1.86,3.84,0.78,0.23,1.82,0.85,2.23,2.74,6.78,7.37,12.2,2.13,1.68,1.62,1.99,1.3,1.17,1.01,0.61,5.32,1.98,1.84,1,1.81,1.3675,"Riyadh, Saudi Arabia"
Nanning,China,2.35,21.35,4.48,,2.85,4.02,0.65,0.3,1.57,1.67,1.25,1.34,9.96,5.79,13.29,2.28,0.71,2.18,1.14,0.5,1.42,0.81,0.59,11.39,1.14,1.42,0,1.723333333,0.9675,"Nanning, China"
Yancheng,China,4.27,17.08,5.94,0.71,2.14,3.99,0.43,0.36,1.78,2.53,1.82,0.85,11.39,3.13,22.78,2.28,,,,1.99,,1.42,0.85,10.68,1.14,2.56,0,2.28,1.705,"Yancheng, China"
Hangzhou,China,4.27,32.03,5.69,0.85,2.14,3.77,0.53,0.31,2.45,1.93,1.08,1.99,20.51,4.78,14.32,2.06,1.67,1.46,1.2,0.93,1.11,0.7,0.71,10.61,0.89,2.31,1,1.73,0.985,"Hangzhou, China"
Miami,United States,20.0,100.0,10.0,6.0,8.0,4.59,2.19,2.03,1.15,3.17,5.48,3.92,12.08,16.04,14.84,6.72,1.93,4.86,5.05,3.32,3.17,1.92,1.95,12.0,2.39,3.05,1,4.503333333,3.365,"Miami, United States"
Yantai,China,2.85,22.78,4.98,1.14,2.14,3.56,0.45,0.28,1.78,1.19,0.78,,8.54,3.46,15.66,1.92,,1.78,1.35,1.19,0.71,0.5,0.57,5.69,0.8,1.85,0,1.85,0.9375,"Yantai, China"
Luoyang,China,2.14,14.24,5.34,4.27,7.12,4.27,0.36,0.28,1.85,1.78,0.71,1.24,4.27,2.14,8.54,0.93,0.71,1.14,0.85,0.43,0.43,0.43,0.78,12.81,0.43,1.71,0,0.926666667,0.535,"Luoyang, China"
Kunming,China,2.49,28.47,5.34,1.07,2.14,3.38,0.52,0.25,1.89,2.73,1.78,1.71,14.71,5.37,10.5,1.64,1.0,1.49,1.61,0.93,1.19,0.66,0.71,8.54,0.71,1.57,0,1.376666667,1.0975,"Kunming, China"
Baghdad,Iraq,4.72,22.85,8.0,1.83,3.5,2.45,0.46,0.2,1.0,0.78,1.21,1.64,4.29,4.13,9.96,0.85,0.96,0.89,0.61,0.6,0.51,0.73,0.52,12.3,1.52,2.26,1,0.9,0.6125,"Baghdad, Iraq"
Quanzhou,China,3.91,21.35,4.27,4.27,4.98,3.84,0.5,0.28,1.57,2.21,1.0,,22.06,1.99,12.81,2.42,,1.71,0.78,0.71,0.57,0.21,1.42,14.24,1.14,2.28,0,2.065,0.5675,"Quanzhou, China"
Madrid,Spain,12.64,52.69,8.43,3.69,3.69,2.23,2.35,1.67,0.9,1.09,1.22,2.45,10.67,7.45,11.92,2.16,1.92,1.79,1.92,1.21,1.38,1.06,0.72,5.27,1.03,1.59,1,1.956666667,1.3925,"Madrid, Spain"
Khartoum,Sudan,5.0,20.0,8.0,2.0,3.4,2.32,0.52,0.29,1.53,0.76,2.12,2.02,6.1,5.73,6.21,4.93,0.78,1.98,2.01,1.52,1.27,0.97,0.59,15.0,1.0,3.0,1,2.563333333,1.4425,"Khartoum, Sudan"
Qingdao,China,2.99,21.35,4.7,0.85,2.14,3.08,0.43,0.28,2.04,1.16,0.82,1.37,11.45,4.19,11.58,1.29,1.61,1.37,1.27,0.66,0.54,0.45,0.55,12.81,0.65,1.71,1,1.423333333,0.73,"Qingdao, China"
Wuxi,China,3.7,24.91,5.55,0.85,2.06,3.52,0.43,0.24,2.28,1.66,0.95,1.53,14.24,3.99,11.63,2.28,1.53,1.61,1.47,0.53,1.0,0.34,0.5,8.19,0.57,1.78,0,1.806666667,0.835,"Wuxi, China"
Huanggang,China,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Huanggang, China"
Maoming,China,2.14,14.09,3.91,1.42,4.98,3.56,0.43,0.28,2.46,1.71,0.71,2.73,,3.56,15.66,0.85,0.96,1.42,1.14,0.71,0.28,0.71,0.43,,0.62,0.71,0,1.076666667,0.71,"Maoming, China"
Nanchong,China,2.85,17.08,4.27,0.85,2.85,3.56,0.36,0.27,1.83,1.36,0.71,1.37,9.73,3.63,11.39,1.14,1.14,1.0,0.71,0.57,0.71,0.47,0.43,4.98,0.74,2.04,0,1.093333333,0.615,"Nanchong, China"
Dallas,United States,20.0,75.0,8.0,5.0,7.0,4.64,2.27,1.53,0.89,3.19,4.14,3.0,10.21,13.17,16.23,4.77,2.02,4.68,4.18,3.55,2.9,1.79,2.27,12.0,3.1,4.08,1,3.823333333,3.105,"Dallas, United States"
Giza,Egypt,4.48,10.17,3.26,0.94,1.63,1.24,0.22,0.15,0.71,0.41,0.57,1.16,2.33,3.65,7.34,1.1,0.64,0.39,0.38,0.3,0.26,0.15,0.22,7.33,1.14,1.55,1,0.71,0.2725,"Giza, Egypt"
Allahabad,India,1.84,6.14,3.68,1.66,2.46,2.15,0.64,0.2,0.64,0.58,0.53,0.96,4.79,2.55,6.67,1.29,0.61,0.72,0.42,0.34,0.39,0.59,0.32,4.61,2.36,2.95,0,0.873333333,0.435,"Allahabad, India"
Yulin,China,2.35,21.35,4.48,,2.85,4.02,0.65,0.3,1.57,1.67,1.28,1.34,9.96,5.79,13.29,2.28,0.71,2.18,1.14,0.5,1.42,0.81,0.59,11.39,1.14,1.42,0,1.723333333,0.9675,"Yulin, China"
Changde,China,2.85,14.24,4.27,0.71,1.92,2.85,0.43,0.27,2.56,1.42,0.57,1.82,5.69,5.69,15.18,1.71,2.49,4.27,1.42,1.42,2.28,1.42,0.43,14.24,0.71,2.28,0,2.823333333,1.635,"Changde, China"
Philadelphia,United States,19.0,67.5,8.5,6.0,8.0,4.61,2.33,1.64,1.26,3.57,4.38,3.46,13.21,14.47,14.9,4.99,1.5,4.68,5.49,3.15,2.73,1.97,1.71,15.0,2.73,4.41,1,3.723333333,3.335,"Philadelphia, United States"
Liaocheng,China,,,5.12,,,2.28,0.45,0.28,1.35,,0.43,2.9,,,13.52,,,,,,,,,,0.71,,0,,,"Liaocheng, China"
Nairobi,Kenya,4.28,32.61,5.91,2.04,2.85,2.25,0.54,0.45,0.96,0.52,1.55,1.39,11.6,5.88,4.62,2.33,0.91,1.8,0.95,0.91,0.98,0.63,0.76,11.41,1.96,2.42,1,1.68,0.8675,"Nairobi, Kenya"
Guadalajara,Mexico,7.74,30.94,6.19,1.8,3.09,2.48,0.97,0.64,1.14,1.89,1.5,1.67,6.34,7.02,10.2,2.51,1.26,1.2,1.27,1.56,1.25,0.89,0.93,10.31,1.27,2.72,1,1.656666667,1.2425,"Guadalajara, Mexico"
Xiangyang,China,2.85,17.08,4.98,0.71,,4.27,0.69,0.28,1.42,1.0,0.71,,,,7.12,1.14,,1.42,0.57,0.43,0.57,,0.28,,1.42,2.14,0,1.28,0.523333333,"Xiangyang, China"
Houston,United States,16.5,75.0,9.0,5.5,6.0,4.74,2.22,1.75,0.95,3.02,3.34,3.15,11.94,9.11,14.15,4.42,1.25,3.28,3.15,2.21,2.19,1.58,2.12,12.0,2.87,3.3,1,2.983333333,2.2825,"Houston, United States"
Atlanta,United States,15.0,65.0,8.25,6.0,6.5,4.67,2.06,1.64,0.88,2.67,4.41,2.86,12.81,10.83,13.32,4.84,1.62,5.13,4.21,3.05,2.4,1.69,1.93,10.0,2.88,3.61,1,3.863333333,2.8375,"Atlanta, United States"
Nanchang,China,2.85,17.08,4.98,0.71,1.92,3.11,0.47,0.27,1.99,1.74,0.68,1.82,8.19,3.84,8.75,1.8,0.85,1.38,1.71,0.93,0.78,0.85,0.62,14.24,0.71,0.85,0,1.343333333,1.0675,"Nanchang, China"
Dezhou,China,2.99,21.35,4.7,0.85,2.14,3.08,0.43,0.28,2.04,1.16,0.82,1.37,11.45,4.19,11.58,1.29,1.61,1.37,1.27,0.66,0.54,0.45,0.55,12.81,0.65,1.71,0,1.423333333,0.73,"Dezhou, China"
