City,Country,Inexpensive Meal,Midrange Meal For 2,McMeal,Domestic Beer (at restaurant),Imported Beer (at restaurant),Cappuccino (at restaurant),Soft Drink (at restaurant),Water (at restaurant),Milk (at Grocery),White Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Bananas,Oranges,Tomato,Potato,Onion,Lettuce,Water (at Grocery),Wine (at Grocery),Domestic Beer (at Grocery),Imported Beer (at Grocery),City/Country,Avg_Fruit,Avg_Veg,year,data_quality
Kuala Lumpur,Malaysia,3.33,22.2,4.0,3.44,4.44,2.67,0.59,0.38,1.66,0.79,1.33,1.7,9.75,3.49,8.85,2.47,1.49,2.79,1.38,0.99,0.93,0.88,0.62,15.54,2.45,3.54,"Kuala Lumpur, Malaysia",2.25,1.0450000000000002,2021,
Bogota,Colombia,3.06,18.34,4.48,1.02,2.04,1.11,0.57,0.48,0.83,0.97,0.79,1.48,3.9,3.58,5.19,1.9,0.73,0.93,0.89,0.76,0.7,0.55,0.56,8.15,0.71,1.3,"Bogota, Colombia",1.1866666666666668,0.7249999999999999,2021,
Ahmedabad,India,2.45,12.24,3.67,3.37,5.51,1.67,0.45,0.19,0.71,0.54,0.72,1.04,6.08,3.56,6.19,1.9,0.57,1.04,0.6,0.35,0.45,0.76,0.35,9.49,1.86,4.63,"Ahmedabad, India",1.17,0.54,2021,
Nanjing,China,3.07,20.95,4.54,0.88,1.4,2.99,0.47,0.31,2.18,1.64,1.08,1.83,7.68,3.61,11.48,1.42,1.57,1.96,1.38,0.99,1.18,0.91,0.52,12.57,0.7,1.64,"Nanjing, China",1.6500000000000001,1.115,2021,
Dar es Salaam,Tanzania,2.14,24.66,6.65,1.07,1.72,1.8,0.31,0.26,1.03,0.6,0.93,1.89,8.79,4.03,3.84,2.95,1.11,1.17,1.12,0.84,1.08,0.77,0.47,6.43,0.99,1.85,"Dar es Salaam, Tanzania",1.7433333333333334,0.9525,2021,
Santiago,Chile,8.76,43.79,6.57,3.28,3.83,2.47,1.07,0.89,1.02,1.28,1.41,2.79,9.42,5.52,10.4,1.63,1.37,1.55,1.76,1.15,1.13,1.01,1.07,4.93,1.26,1.9,"Santiago, Chile",1.5166666666666666,1.2625,2021,
Hong Kong,Hong Kong,7.68,64.02,5.51,6.4,6.4,5.08,1.17,1.05,3.1,2.28,2.01,3.4,24.25,9.29,23.46,4.5,2.45,3.65,3.02,2.6,2.66,1.57,1.6,19.21,1.83,2.76,"Hong Kong, Hong Kong",3.533333333333333,2.4625000000000004,2021,
Shenyang,China,2.79,20.95,4.64,0.63,1.4,2.93,0.35,0.21,1.58,1.18,0.88,1.42,13.62,2.76,13.27,1.36,1.16,1.75,1.47,1.12,0.86,0.72,0.6,9.08,0.47,2.21,"Shenyang, China",1.4233333333333331,1.0425,2021,
Xi'an,China,2.79,16.76,4.89,0.7,2.51,3.35,0.41,0.27,1.77,1.09,1.64,1.51,10.43,3.18,8.24,1.29,1.42,1.4,1.12,0.49,0.59,0.77,0.57,11.17,0.54,1.43,"Xi'an, China",1.3699999999999999,0.7425,2021,
Riyadh,Saudi Arabia,6.65,53.22,6.92,1.6,1.86,3.84,0.78,0.23,1.81,0.86,2.21,2.74,6.79,7.52,12.07,2.12,1.66,1.63,2.0,1.26,1.17,1.03,0.62,5.32,1.95,1.84,"Riyadh, Saudi Arabia",1.8033333333333335,1.365,2021,
Hangzhou,China,4.19,31.43,5.59,0.84,2.1,3.6,0.52,0.3,2.41,1.86,1.05,1.95,20.13,4.69,14.05,1.99,1.64,1.44,1.18,0.97,1.09,0.68,0.69,10.41,0.87,2.26,"Hangzhou, China",1.6900000000000002,0.9800000000000001,2021,
Miami,United States,20.0,100.0,9.5,6.0,8.0,4.64,2.19,2.03,1.14,3.14,5.48,3.92,12.08,16.04,14.84,6.72,1.93,4.86,5.05,3.38,3.17,1.92,1.89,12.0,2.25,2.99,"Miami, United States",4.503333333333334,3.38,2021,
Baghdad,Iraq,4.72,22.85,8.0,1.83,3.5,2.45,0.46,0.2,1.0,0.79,1.21,1.64,4.28,4.13,9.96,0.85,0.96,0.89,0.61,0.6,0.51,0.73,0.52,12.3,1.52,2.26,"Baghdad, Iraq",0.9,0.6125,2021,
Madrid,Spain,12.46,51.93,8.31,3.64,3.64,2.2,2.33,1.66,0.89,1.08,1.2,2.38,10.5,7.34,11.9,2.09,1.88,1.71,1.9,1.25,1.4,1.04,0.72,5.19,1.03,1.58,"Madrid, Spain",1.8933333333333333,1.3975,2021,
Khartoum,Sudan,5.0,20.0,7.0,2.25,2.95,2.32,0.52,0.29,1.53,0.76,2.12,2.02,6.1,5.73,6.21,4.93,0.78,1.98,2.01,1.52,1.27,0.97,0.59,15.0,1.0,3.0,"Khartoum, Sudan",2.563333333333333,1.4425,2021,
Giza,Egypt,4.48,10.18,3.26,0.94,1.63,1.24,0.24,0.15,0.71,0.45,0.56,1.16,2.33,3.66,7.35,1.13,0.63,0.39,0.4,0.3,0.26,0.16,0.22,7.33,1.15,1.55,"Giza, Egypt",0.7166666666666667,0.27999999999999997,2021,
Philadelphia,United States,19.0,67.5,8.0,6.0,8.0,4.6,2.33,1.52,1.26,3.57,4.46,3.46,13.21,14.47,14.9,5.19,1.5,4.68,5.35,3.54,2.99,1.95,1.74,15.0,2.73,4.41,"Philadelphia, United States",3.7900000000000005,3.4575,2021,
Dallas,United States,20.0,75.0,8.0,5.0,7.0,4.66,2.27,1.5,0.89,3.19,4.11,3.0,10.4,13.17,16.23,4.77,1.93,4.68,4.18,3.55,2.9,1.73,2.27,12.0,3.1,4.08,"Dallas, United States",3.793333333333333,3.09,2021,
Qingdao,China,2.93,20.95,4.61,0.84,2.1,3.02,0.42,0.28,2.0,1.14,0.81,1.34,11.23,4.11,11.36,1.26,1.58,1.35,1.25,0.65,0.53,0.44,0.54,12.57,0.63,1.68,"Qingdao, China",1.3966666666666665,0.7174999999999999,2021,
Nairobi,Kenya,4.08,32.67,5.88,2.04,3.27,2.24,0.54,0.45,0.95,0.51,1.54,1.39,11.62,5.8,4.64,2.33,0.92,1.8,0.95,0.91,0.98,0.62,0.74,10.82,1.96,2.42,"Nairobi, Kenya",1.6833333333333333,0.865,2021,
Guadalajara,Mexico,7.78,31.13,6.23,1.82,3.11,2.5,0.98,0.65,1.15,1.9,1.51,1.68,6.37,6.9,10.27,2.52,1.26,1.2,1.28,1.53,1.26,0.83,0.93,10.38,1.28,2.73,"Guadalajara, Mexico",1.6600000000000001,1.225,2021,
Houston,United States,16.5,75.0,9.0,5.31,6.0,4.74,2.24,1.73,0.95,3.02,3.28,3.15,11.94,9.11,14.17,4.47,1.24,3.28,3.23,2.21,2.19,1.57,2.08,12.0,2.87,3.3,"Houston, United States",2.9966666666666666,2.3,2021,
Atlanta,United States,15.0,65.0,8.25,6.0,6.25,4.67,2.06,1.68,0.88,2.67,4.57,2.86,12.34,10.83,13.32,5.17,1.55,5.3,4.5,3.13,2.42,1.74,2.01,10.0,3.02,3.61,"Atlanta, United States",4.006666666666667,2.9475000000000002,2021,
Toronto,Canada,18.61,81.9,9.68,5.21,6.33,3.59,1.95,1.51,2.49,2.56,2.85,2.95,11.53,12.18,12.6,3.2,1.28,3.19,3.41,2.78,2.38,2.34,1.68,11.91,2.31,2.87,"Toronto, Canada",2.5566666666666666,2.7275,2021,
Suzhou,China,4.89,38.41,6.43,2.79,5.59,4.49,0.85,0.33,2.7,3.49,1.43,3.79,24.68,5.85,19.6,2.82,2.52,3.84,1.97,1.32,1.48,1.38,0.97,18.86,0.82,3.42,"Suzhou, China",3.06,1.5374999999999999,2021,
Washington,United States,18.0,80.0,9.0,7.25,8.0,4.82,2.47,2.12,1.01,3.24,4.53,3.48,13.85,11.91,16.56,5.52,1.97,5.53,6.4,3.41,3.1,2.31,2.2,15.0,3.11,3.75,"Washington, United States",4.34,3.805,2021,
Singapore,Singapore,10.92,60.06,5.82,7.28,8.74,4.44,1.46,1.04,2.57,1.96,2.7,2.78,19.61,8.63,20.49,3.69,2.58,3.7,2.88,2.18,2.13,1.81,1.39,21.84,4.47,5.23,"Singapore, Singapore",3.323333333333333,2.25,2021,
Fuzhou,China,2.93,17.46,4.19,0.84,2.1,3.72,0.44,0.28,1.8,1.26,0.84,1.56,10.43,5.1,15.83,2.2,1.4,1.43,1.26,0.63,0.91,0.42,0.65,19.21,1.26,1.91,"Fuzhou, China",1.6766666666666667,0.805,2021,
Belo Horizonte,Brazil,4.1,27.95,5.59,1.58,2.24,1.26,0.93,0.5,0.89,1.37,1.8,1.72,7.77,3.49,7.77,1.29,0.91,0.69,1.35,0.77,0.79,0.45,0.57,7.45,1.11,2.1,"Belo Horizonte, Brazil",0.9633333333333334,0.8400000000000001,2021,
Surat,India,2.75,9.79,3.67,1.84,3.67,1.35,0.37,0.18,0.74,0.52,0.69,0.9,5.4,3.26,9.79,1.53,0.51,1.03,0.52,0.36,0.44,0.57,0.32,13.77,2.67,,"Surat, India",1.0233333333333334,0.47250000000000003,2021,
Alexandria,Egypt,4.07,16.29,3.67,2.04,4.07,1.39,0.25,0.15,0.76,0.45,0.62,1.1,2.69,3.64,7.24,1.08,0.62,0.4,0.36,0.34,0.26,0.23,0.21,6.31,1.34,1.47,"Alexandria, Egypt",0.7000000000000001,0.2975,2021,
Sydney,Australia,13.41,80.47,9.36,6.37,6.2,3.07,2.19,1.98,1.36,2.27,1.85,3.67,7.66,7.81,13.36,2.84,2.34,2.42,5.12,2.3,2.05,2.54,1.41,10.73,4.1,4.42,"Sydney, Australia",2.533333333333333,3.0024999999999995,2021,
Barcelona,Spain,14.54,62.32,9.35,3.12,3.64,2.32,2.15,1.49,0.98,1.48,1.33,2.59,12.13,7.34,11.97,2.04,1.96,1.8,2.28,1.38,1.5,1.05,0.8,6.23,1.14,1.7,"Barcelona, Spain",1.9333333333333333,1.5525,2021,
Boston,United States,20.0,100.0,10.6,7.0,8.0,4.89,2.36,2.07,1.09,3.92,4.04,3.45,16.08,12.83,15.78,4.74,1.51,4.99,5.7,2.69,3.21,2.32,2.17,16.5,1.98,3.48,"Boston, United States",3.7466666666666666,3.4800000000000004,2021,
Melbourne,Australia,15.42,80.47,9.05,6.71,6.71,3.21,2.56,2.27,1.32,2.23,2.13,3.58,8.76,8.21,13.39,2.91,2.4,2.36,5.03,2.39,2.04,3.02,1.51,13.41,3.86,4.28,"Melbourne, Australia",2.5566666666666666,3.12,2021,
Johannesburg,South Africa,8.78,38.06,4.36,2.34,2.34,1.87,0.92,0.74,1.09,0.9,1.51,2.14,6.76,4.57,7.19,1.61,1.46,1.55,1.52,1.4,1.22,1.02,0.98,4.68,1.45,1.76,"Johannesburg, South Africa",1.54,1.29,2021,
Casablanca,Morocco,3.63,18.61,6.05,2.79,3.72,1.75,0.44,0.32,0.68,0.47,1.38,1.18,7.47,5.38,7.26,1.14,1.09,0.53,0.57,0.45,0.42,0.3,0.53,7.44,1.89,2.42,"Casablanca, Morocco",0.9199999999999999,0.435,2021,
Kabul,Afghanistan,1.67,5.56,3.06,,,0.92,0.22,0.13,0.59,0.23,1.21,1.18,3.33,2.49,5.3,0.72,0.9,1.09,0.48,0.29,0.23,0.22,0.32,11.11,0.85,1.56,"Kabul, Afghanistan",0.9033333333333333,0.305,2021,
Phoenix,United States,18.0,70.0,10.0,6.0,6.0,5.14,2.51,1.86,0.85,3.15,4.21,3.55,11.55,10.22,15.16,4.59,1.51,3.73,4.1,2.89,2.64,1.64,2.54,15.0,2.71,3.75,"Phoenix, United States",3.276666666666667,2.8175000000000003,2021,
Amman,Jordan,5.64,42.31,7.05,7.05,7.05,4.08,0.54,0.39,1.47,0.52,1.67,1.97,7.43,6.17,11.59,2.05,1.78,1.54,0.75,0.96,0.74,0.65,0.56,21.16,5.1,6.22,"Amman, Jordan",1.79,0.775,2021,
Yokohama,Japan,6.14,43.31,5.05,2.89,4.33,3.01,0.89,0.81,1.46,1.32,3.01,1.83,11.12,5.47,13.9,3.13,2.17,3.61,3.57,2.89,3.61,1.44,0.82,7.22,2.14,2.44,"Yokohama, Japan",2.97,2.8775,2021,
Jeddah,Saudi Arabia,6.65,47.9,6.65,1.4,1.66,3.81,0.73,0.28,1.6,0.84,2.01,2.54,7.39,8.25,13.23,2.18,1.58,1.6,1.8,1.22,1.07,1.57,0.59,1.33,1.78,1.93,"Jeddah, Saudi Arabia",1.7866666666666668,1.415,2021,
Seattle,United States,20.0,100.0,11.0,7.0,8.0,5.15,2.48,1.92,1.12,4.2,5.13,3.55,17.3,14.85,17.37,5.95,2.71,5.29,6.64,3.28,3.31,2.42,1.96,15.0,3.15,3.34,"Seattle, United States",4.6499999999999995,3.9125,2021,
Berlin,Germany,12.46,62.32,9.35,4.15,4.15,3.33,2.47,1.91,1.17,1.67,2.39,2.98,12.14,9.73,14.22,2.7,1.82,2.52,3.09,1.98,1.48,1.4,0.68,5.71,1.11,1.59,"Berlin, Germany",2.346666666666667,1.9875000000000003,2021,
Detroit,United States,15.63,60.0,8.25,4.75,6.0,4.79,2.05,1.57,0.92,2.94,3.51,3.12,12.24,13.22,16.73,4.23,1.64,4.13,3.84,3.17,2.76,1.41,1.88,10.0,1.86,2.54,"Detroit, United States",3.3333333333333335,2.795,2021,
Algiers,Algeria,2.71,21.67,4.69,1.81,2.27,0.95,0.5,0.19,0.87,0.16,1.18,1.42,7.7,4.28,11.5,2.47,2.96,1.3,0.8,0.59,0.39,0.58,0.25,6.68,1.52,1.88,"Algiers, Algeria",2.243333333333333,0.5900000000000001,2021,
Busan,South Korea,6.03,35.81,4.9,3.02,4.52,3.28,1.29,0.72,1.98,2.59,4.02,1.96,13.57,6.03,26.39,5.13,2.83,4.86,4.52,3.52,2.83,1.76,1.0,10.01,1.91,2.55,"Busan, South Korea",4.273333333333333,3.1574999999999998,2021,
Montreal,Canada,14.89,67.01,9.68,5.77,5.96,3.56,1.8,1.37,2.2,2.82,2.94,2.91,11.45,11.12,12.85,3.24,1.5,3.03,3.49,1.91,2.0,2.09,1.64,11.91,2.41,2.67,"Montreal, Canada",2.59,2.3725,2021,
Lucknow,India,3.06,12.24,3.06,1.84,3.67,1.56,0.35,0.18,0.67,0.45,0.71,1.03,3.95,3.46,6.5,1.48,0.58,0.81,0.43,0.23,0.35,0.45,0.35,6.12,1.81,3.38,"Lucknow, India",0.9566666666666667,0.365,2021,
Faisalabad,Pakistan,1.23,6.68,3.34,2.23,2.9,0.7,0.18,0.15,0.53,0.35,0.69,0.82,2.83,1.7,2.78,0.89,0.43,0.58,0.43,0.34,0.28,0.35,0.3,1.23,1.09,1.34,"Faisalabad, Pakistan",0.6333333333333333,0.35,2021,
San Diego,United States,20.0,80.0,9.97,7.0,8.0,4.78,2.4,1.97,1.1,3.88,4.36,4.24,12.97,16.43,17.41,4.58,1.89,3.23,3.95,3.07,2.47,1.65,1.92,12.0,3.19,2.81,"San Diego, United States",3.233333333333333,2.785,2021,
Jaipur,India,2.45,9.79,3.67,1.84,3.98,1.44,0.45,0.2,0.64,0.45,0.89,0.91,5.35,3.81,4.16,1.49,0.42,0.81,0.48,0.35,0.4,0.39,0.37,12.24,1.69,3.46,"Jaipur, India",0.9066666666666666,0.405,2021,
